STT,HẠNG MỤC,HIỆN TẠI ĐẠT,"Mục tiêu
T8/2026","Thiếu
T8/2026"
KPIs,,,,
Thông tin,,,,
,TOP 3 (%),0.33,0.05,-0.28
,Số lượng,123.0,18.5,-104.5
,TOP 5 (%),0.43,0.2,-0.23
,Số lượng,159.0,74,-85
,TOP 10 (%),0.562,0.3,-0.262
,Số lượng,208.0,111,-97
Thương hiệu,,,,
,TOP 3 (%),0.85,0.85,0
,Số lượng,64.0,63.75,-0.25
,TOP 5 (%),0.88,0.9,0.02
,Số lượng,66.0,67.5,1.5
